model_id,cell_line_name,reason
ACH-001007,a673stag2ko16,null_rrid
ACH-001008,a673stag2ko45,null_rrid
ACH-001009,a673stag2nt14,null_rrid
ACH-001010,a673stag2nt23,null_rrid
ACH-001134,myla,null_rrid
ACH-001172,u-251 mg,null_rrid
ACH-002002,a375 skin cj2,null_rrid
ACH-002048,rms-ym,null_rrid
ACH-002333,hcc827gr,null_rrid
ACH-002334,ss1a,null_rrid
ACH-002349,gbm001,null_rrid
ACH-002462,rpe1-ss48,null_rrid
ACH-002463,rpe1-ss77,null_rrid
ACH-002464,rpe1-ss6,null_rrid
ACH-002465,rpe1-ss119,null_rrid
ACH-002466,rpe1-ss111,null_rrid
ACH-002467,rpe1-ss51,null_rrid
ACH-002471,pss008,null_rrid
ACH-002680,170-mg-ba,null_rrid
ACH-002834,pss131r,null_rrid
ACH-002874,a375_rpmi,null_rrid
ACH-002875,rvh421_rpmi,null_rrid
