^SAMPLE = GSM1230824
!Sample_title = OV-90:PTX_1
!Sample_geo_accession = GSM1230824
!Sample_status = Public on Oct 02 2014
!Sample_submission_date = Sep 12 2013
!Sample_last_update_date = Oct 02 2014
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = OV-90 Paclitaxel 24h
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: OV-90
!Sample_characteristics_ch1 = cell type: ovarian cancer
!Sample_treatment_protocol_ch1 = Treated with eribulin and paclitaxel at 10xIC50 conc. for 24 hours. IC50 determinded in growth inhibitation assay for cell line separately.
!Sample_growth_protocol_ch1 = Cell lines were growing in growth media recommanded by ATCC.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted using RNeasy Mini kit (Qiagen).
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated fragmenetd cRNA was used.
!Sample_hyb_protocol = We used manufacture recommened protocol (Affymetrix). Arrays were washed and stained using Affymetrix Fluidics Station 450
!Sample_scan_protocol = Arrays were scanned using Affymetrix GeneChip Scanner 3000
!Sample_description = drug
!Sample_data_processing = Gene chips were analyzed using Affymetrix Microarray Analysis Suite (MAS) version 5. RMA normalization was performed using Affymetrix Power Tools version 1.12.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Zoltan,,Dezso
!Sample_contact_email = zoltan_dezso@eisai.com
!Sample_contact_institute = Eisai Inc
!Sample_contact_address = 4 Corporate dr
!Sample_contact_city = Andover
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 01810
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1230nnn/GSM1230824/suppl/GSM1230824_CEL_282_4667_02_06_2012.CEL.gz
!Sample_series_id = GSE50831
!Sample_series_id = GSE50832
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = log2 values after RMA normalization
!sample_table_begin
ID_REF	VALUE
AFFX-BioB-5_at	4.177
AFFX-BioB-M_at	3.804
AFFX-BioB-3_at	3.843
AFFX-BioC-5_at	7.063
AFFX-BioC-3_at	7.591
AFFX-BioDn-5_at	8.735
AFFX-BioDn-3_at	9.766
AFFX-CreX-5_at	11.04
AFFX-CreX-3_at	11.327
AFFX-DapX-5_at	2.243
AFFX-DapX-M_at	1.827
AFFX-DapX-3_at	2.82
AFFX-LysX-5_at	1.819
AFFX-LysX-M_at	2.179
AFFX-LysX-3_at	1.768
AFFX-PheX-5_at	2.262
AFFX-PheX-M_at	1.998
AFFX-PheX-3_at	3.53
AFFX-ThrX-5_at	2.642
AFFX-ThrX-M_at	2.188
AFFX-ThrX-3_at	3.254
AFFX-TrpnX-5_at	2.828
AFFX-TrpnX-M_at	2.354
AFFX-TrpnX-3_at	1.882
AFFX-r2-Ec-bioB-5_at	3.857
AFFX-r2-Ec-bioB-M_at	3.776
AFFX-r2-Ec-bioB-3_at	4.366
AFFX-r2-Ec-bioC-5_at	7.471
AFFX-r2-Ec-bioC-3_at	7.962
AFFX-r2-Ec-bioD-5_at	9.787
AFFX-r2-Ec-bioD-3_at	10.284
AFFX-r2-P1-cre-5_at	11.719
AFFX-r2-P1-cre-3_at	11.87
AFFX-r2-Bs-dap-5_at	2.182
AFFX-r2-Bs-dap-M_at	1.901
AFFX-r2-Bs-dap-3_at	1.722
AFFX-r2-Bs-lys-5_at	1.724
AFFX-r2-Bs-lys-M_at	1.972
AFFX-r2-Bs-lys-3_at	2.185
AFFX-r2-Bs-phe-5_at	1.932
AFFX-r2-Bs-phe-M_at	1.793
AFFX-r2-Bs-phe-3_at	2.381
AFFX-r2-Bs-thr-3_s_at	2.901
AFFX-r2-Bs-thr-M_s_at	3.174
AFFX-r2-Bs-thr-5_s_at	2.417
AFFX-HUMISGF3A/M97935_5_at	5.265
AFFX-HUMISGF3A/M97935_MA_at	6.407
AFFX-HUMISGF3A/M97935_MB_at	6.528
