^SAMPLE = GSM1589631
!Sample_title = BA Her2, TUM009
!Sample_geo_accession = GSM1589631
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jun 18 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Er- Her2+ subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: Her2
!Sample_characteristics_ch1 = array_batch: B6
!Sample_characteristics_ch1 = hybridation batch: H4
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Er- Her2+ subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589631/suppl/GSM1589631_BC04_ARN0003_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1588981
!Sample_relation = Reanalyzed by: GSM1715208
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.020647486
10000_at	2.042619904
10001_at	8.080654724
10002_at	2.554358394
10003_at	2.504633164
100048912_at	2.119638259
100049716_at	2.898079852
10004_at	2.213741648
10005_at	6.67494782
10006_at	10.21241913
10007_at	8.724067437
10008_at	2.571846413
100093630_at	9.193307009
10009_at	7.657986456
1000_at	4.277650156
100101938_at	1.896991279
10010_at	8.697195552
100113407_at	4.751077584
10011_at	8.200059312
100124700_at	5.942197234
100125288_at	2.446738763
100126784_at	2.392391874
100126791_at	2.109984708
100126793_at	2.439576263
100127886_at	2.435520165
100127888_at	1.904932071
100127891_at	2.285393518
100127983_at	3.263022317
100128003_at	2.115694009
100128025_at	1.766625232
100128071_at	1.800712437
100128074_at	1.862773706
100128090_at	2.067371895
100128093_at	2.183264153
100128098_at	8.397954014
100128124_at	3.289195045
100128126_at	1.949672961
100128139_at	2.550739386
100128164_at	2.16275833
100128191_at	2.259329636
100128236_at	1.966024554
100128239_at	2.273573743
100128288_at	3.664623986
100128292_at	2.438190514
100128334_at	3.630795993
100128361_at	2.015806623
100128370_at	2.717767244
100128392_at	2.774632116
100128403_at	1.87917545
100128430_at	2.157188069
100128496_at	2.100785041
100128511_at	2.010299453
100128731_at	11.39331239
100128737_at	1.953667459
100128782_at	2.157379272
100128788_at	2.141809256
100128822_at	7.492074518
100128843_at	2.25619266
100128881_at	1.468236956
100128893_at	3.041829544
100128909_at	1.899699159
100128922_at	2.349239963
100128927_at	4.612754713
100128977_at	2.169061421
100128998_at	2.646504083
100129098_at	2.670339688
100129104_at	4.006785165
100129122_at	2.612160634
100129128_at	1.67868073
100129194_at	2.055204545
100129195_at	4.171663853
100129250_at	4.821278943
100129268_at	2.510638086
100129271_at	2.107398536
100129335_at	2.016459369
100129361_at	9.772671601
100129387_at	5.504026202
100129482_at	4.55320217
100129500_at	1.788446741
100129503_at	2.095190622
100129550_at	3.301172001
100129637_at	2.441801518
100129656_at	2.782269086
100129716_at	1.954891912
100129726_at	2.096557736
100129792_at	2.65696503
100129794_at	2.992791898
100129827_at	2.169161835
100129890_at	2.370834414
100129907_at	2.689772109
100129935_at	2.240788177
100129969_at	2.157285762
100129988_at	2.355725261
100130054_at	1.943125084
100130100_at	5.134068434
100130111_at	2.210124673
100130155_at	2.401035972
100130262_at	2.075044091
100130264_at	2.523211101
100130285_at	3.23035565
100130331_at	1.996115075
100130418_at	2.496891351
100130449_at	2.762968894
100130452_at	2.384916564
100130458_at	2.13647514
100130494_at	1.687006696
100130502_at	2.064443704
100130503_at	2.595437659
100130522_at	2.274466354
100130557_at	2.059793848
100130613_at	2.843288899
100130633_at	7.963739627
100130691_at	2.81167748
100130700_at	3.280706605
100130717_at	1.944225123
100130733_at	2.392005874
100130776_at	4.344492259
100130840_at	2.236270554
100130872_at	2.323964146
100130889_at	2.239280624
100130905_at	1.727622287
100130911_at	2.559296335
100130938_at	1.959314793
100130958_at	4.636495612
100130967_at	2.86758413
100130987_at	2.926608272
100130992_at	2.546669173
100131138_at	2.610367803
100131187_at	10.21140519
100131211_at	2.359585059
100131213_at	2.561172186
100131227_at	1.887436153
100131261_at	9.440339687
100131283_at	2.67062555
100131311_at	1.79289059
100131354_at	1.873069294
100131414_at	5.703049394
100131435_at	2.324528753
100131454_at	2.507193546
100131455_at	1.793470117
100131496_at	2.601791111
100131512_at	2.356245259
100131561_at	1.889716668
100131564_at	3.521410943
100131683_at	2.086911347
100131733_at	2.948817644
100131754_at	15.55303481
100131756_at	2.335977802
100131801_at	7.360629298
100131814_at	2.420269536
100131816_at	2.055051974
100131827_at	1.910865327
100132013_at	3.214676135
100132051_at	2.128417572
100132234_at	2.094871304
100132288_at	6.81568943
100132319_at	2.197579262
100132341_at	4.749198113
100132354_at	2.372719983
100132356_at	2.169315165
100132369_at	2.516464912
100132386_at	1.788254247
100132464_at	5.66147395
100132570_at	1.856610947
100132596_at	2.124643736
100132618_at	2.277154484
100132625_at	1.860137445
100132707_at	2.148513592
100132767_at	1.979809489
100132884_at	3.644719651
100132911_at	2.582601688
100132923_at	2.454158171
100133116_at	1.864229007
100133142_at	2.49839225
100133205_at	2.468745702
100133308_at	2.24323456
100133311_at	1.986207421
100133321_at	3.077036031
100133612_at	1.99348983
100133941_at	12.012736
100133985_at	2.13421127
100133991_at	2.85882967
100134229_at	3.728872531
100134259_at	2.189460332
100134368_at	1.966551741
100134713_at	2.51115488
100134934_at	5.794423304
10013_at	6.272494874
100141515_at	2.438436651
100144603_at	5.258826249
100144604_at	2.465108362
