^SAMPLE = GSM1589674
!Sample_title = BA TNBC, TUM039
!Sample_geo_accession = GSM1589674
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jan 23 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: TNBC
!Sample_characteristics_ch1 = array_batch: B7
!Sample_characteristics_ch1 = hybridation batch: H4
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589674/suppl/GSM1589674_BC04_ARN0054_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589024
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.032571754
10000_at	2.592990209
10001_at	7.938429959
10002_at	2.578657099
10003_at	2.520320874
100048912_at	2.132100425
100049716_at	2.825755684
10004_at	2.216788103
10005_at	7.110436117
10006_at	10.28521028
10007_at	8.812359055
10008_at	2.624887704
100093630_at	8.714030855
10009_at	8.332877821
1000_at	2.723601919
100101938_at	1.906555474
10010_at	8.561521286
100113407_at	4.091360663
10011_at	7.70730545
100124700_at	3.618609768
100125288_at	2.477040799
100126784_at	2.442546075
100126791_at	2.116026856
100126793_at	2.44432806
100127886_at	2.459849971
100127888_at	1.990409857
100127891_at	2.31561973
100127983_at	3.200025429
100128003_at	2.123201201
100128025_at	1.774504032
100128071_at	1.804483045
100128074_at	1.874121407
100128090_at	2.08063652
100128093_at	2.182903727
100128098_at	2.592234171
100128124_at	3.153112745
100128126_at	1.961723564
100128139_at	2.578378943
100128164_at	2.17075482
100128191_at	2.275980615
100128236_at	1.973716231
100128239_at	2.279083872
100128288_at	3.377386433
100128292_at	2.443925993
100128334_at	3.805916867
100128361_at	2.031283117
100128370_at	2.714661761
100128392_at	2.749181109
100128403_at	1.885743479
100128430_at	2.461547691
100128496_at	2.106074742
100128511_at	2.032024967
100128731_at	11.02998438
100128737_at	1.990606332
100128782_at	2.197509378
100128788_at	2.147223841
100128822_at	6.628156157
100128843_at	2.271890642
100128881_at	1.484574633
100128893_at	2.905028994
100128909_at	1.907300667
100128922_at	2.36583233
100128927_at	2.648193401
100128977_at	2.186936619
100128998_at	2.653203483
100129098_at	2.701050447
100129104_at	3.169727509
100129122_at	2.610339677
100129128_at	1.712996523
100129194_at	2.061921681
100129195_at	5.340448845
100129250_at	4.917200881
100129268_at	2.915275293
100129271_at	2.14857381
100129335_at	2.027093967
100129361_at	9.275319332
100129387_at	5.739827678
100129482_at	4.545716558
100129500_at	1.79704058
100129503_at	2.10216223
100129550_at	3.745704833
100129637_at	2.271923556
100129656_at	1.939376298
100129716_at	1.960604077
100129726_at	2.098772942
100129792_at	2.728970611
100129794_at	3.014274261
100129827_at	2.106755154
100129890_at	2.40142892
100129907_at	2.549023708
100129935_at	2.254726137
100129969_at	2.171801932
100129988_at	2.372040484
100130054_at	1.951301983
100130100_at	8.489678192
100130111_at	2.21507465
100130155_at	2.411600301
100130262_at	2.085701169
100130264_at	2.540001856
100130285_at	3.255688534
100130331_at	2.006679203
100130418_at	2.529014738
100130449_at	2.279706348
100130452_at	2.426620452
100130458_at	2.150943801
