^SAMPLE = GSM1589709
!Sample_title = BA TNBC, TUM067_repB
!Sample_geo_accession = GSM1589709
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jan 23 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: TNBC
!Sample_characteristics_ch1 = array_batch: B7
!Sample_characteristics_ch1 = hybridation batch: H4
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Triple Negative subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589709/suppl/GSM1589709_BC04_ARN0037_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589059
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.011944092
10000_at	2.550631975
10001_at	8.53083356
10002_at	2.555574488
10003_at	2.473594187
100048912_at	2.105843409
100049716_at	2.837797514
10004_at	2.187231239
10005_at	7.719677104
10006_at	10.2216938
10007_at	8.996012591
10008_at	2.579164614
100093630_at	11.05650703
10009_at	8.267322577
1000_at	2.616007613
100101938_at	1.885074524
10010_at	9.620792191
100113407_at	6.547631644
10011_at	7.521130873
100124700_at	8.751129692
100125288_at	2.267377331
100126784_at	2.402252861
100126791_at	2.085894579
100126793_at	2.419597291
100127886_at	2.412371197
100127888_at	1.972150134
100127891_at	3.168227694
100127983_at	3.172266553
100128003_at	2.103885169
100128025_at	1.759337575
100128071_at	1.787301712
100128074_at	1.858476134
100128090_at	2.059298136
100128093_at	2.154416362
100128098_at	9.300506062
100128124_at	3.060630962
100128126_at	1.942106884
100128139_at	2.520742053
100128164_at	2.15068457
100128191_at	2.261025038
100128236_at	1.953145912
100128239_at	2.246310368
100128288_at	3.659133335
100128292_at	2.398528027
100128334_at	3.791643222
100128361_at	2.010221545
100128370_at	2.661359707
100128392_at	2.733173933
100128403_at	1.871206591
100128430_at	2.428538876
100128496_at	2.094367532
100128511_at	2.010620204
100128731_at	12.47434081
100128737_at	2.079213266
100128782_at	2.179236938
100128788_at	2.135062492
100128822_at	7.747883578
100128843_at	2.23891231
100128881_at	1.655106718
100128893_at	3.086995289
100128909_at	1.891467766
100128922_at	2.341587341
100128927_at	3.303832436
100128977_at	2.158342606
100128998_at	2.588620784
100129098_at	2.67315021
100129104_at	3.867352324
100129122_at	2.663659101
100129128_at	1.694630323
100129194_at	2.0414665
100129195_at	4.601544725
100129250_at	4.947050729
100129268_at	2.422560182
100129271_at	2.132527969
100129335_at	2.004657646
100129361_at	9.539710612
100129387_at	5.928424252
100129482_at	4.626620601
100129500_at	1.781484604
100129503_at	2.090595043
100129550_at	3.328032725
100129637_at	3.588088595
100129656_at	1.919588907
100129716_at	1.944727639
100129726_at	2.079543388
100129792_at	2.661085553
100129794_at	2.988523572
100129827_at	2.088350048
100129890_at	2.35618076
100129907_at	2.52955606
100129935_at	2.223254015
100129969_at	2.155784911
100129988_at	2.347858657
100130054_at	1.933802414
100130100_at	3.617383225
100130111_at	2.191087011
100130155_at	2.378447034
100130262_at	2.05992653
100130264_at	2.483500355
100130285_at	3.111148828
100130331_at	1.980467412
100130418_at	2.531139356
100130449_at	2.248209036
100130452_at	2.381963415
100130458_at	2.120423723
