^SAMPLE = GSM1589728
!Sample_title = BA Luminal A, TUM086
!Sample_geo_accession = GSM1589728
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jan 23 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Luminal A subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: Luminal A
!Sample_characteristics_ch1 = array_batch: B5
!Sample_characteristics_ch1 = hybridation batch: H1
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Luminal A subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589728/suppl/GSM1589728_BC16_ARN0119_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589078
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	1.967596412
10000_at	2.474178109
10001_at	8.381030182
10002_at	2.507325201
10003_at	2.333767826
100048912_at	2.060813042
100049716_at	2.644440092
10004_at	2.162974071
10005_at	6.222238319
10006_at	10.22346463
10007_at	8.817510761
10008_at	2.582006522
100093630_at	10.69592445
10009_at	7.902123693
1000_at	2.576668167
100101938_at	1.877253871
10010_at	9.64700241
100113407_at	3.998653488
10011_at	7.802932485
100124700_at	7.066609101
100125288_at	2.463545793
100126784_at	2.322606918
100126791_at	2.078257578
100126793_at	2.37527949
100127886_at	2.299983399
100127888_at	1.936683329
100127891_at	1.861186468
100127983_at	3.158061981
100128003_at	2.0699083
100128025_at	1.734598132
100128071_at	1.765332103
100128074_at	1.852903385
100128090_at	2.008856626
100128093_at	2.146247508
100128098_at	2.162473546
100128124_at	2.932051914
100128126_at	1.906656034
100128139_at	2.380986465
100128164_at	2.112776574
100128191_at	2.186614017
100128236_at	1.917587878
100128239_at	2.178660128
100128288_at	3.103755996
100128292_at	2.301068375
100128334_at	3.744673846
100128361_at	1.987405558
100128370_at	2.530830664
100128392_at	2.491804126
100128403_at	1.846571406
100128430_at	2.361042968
100128496_at	2.045616124
100128511_at	1.972190778
100128731_at	11.63604531
100128737_at	1.78665798
100128782_at	2.124971454
100128788_at	2.077978113
100128822_at	6.671852274
100128843_at	2.169195471
100128881_at	1.441186224
100128893_at	2.645635326
100128909_at	1.859179149
100128922_at	2.253402327
100128927_at	3.292698344
100128977_at	2.149273019
100128998_at	2.530837026
100129098_at	2.516694917
100129104_at	2.636408118
100129122_at	2.574149059
100129128_at	1.637474544
100129194_at	1.995982418
100129195_at	5.495798402
100129250_at	4.839200988
100129268_at	2.321919128
100129271_at	2.11118973
100129335_at	1.96307132
100129361_at	9.979425066
100129387_at	5.939317774
100129482_at	4.614935676
100129500_at	1.759034163
100129503_at	2.057247569
100129550_at	4.178774298
100129637_at	2.313451712
100129656_at	1.88246495
100129716_at	1.917120383
100129726_at	2.028324127
100129792_at	2.510163053
100129794_at	2.831574731
100129827_at	2.196939042
100129890_at	2.261526033
100129907_at	2.410833945
100129935_at	2.156564958
100129969_at	2.095975066
100129988_at	2.255282602
100130054_at	1.896990401
100130100_at	6.393497836
100130111_at	2.134265432
100130155_at	2.279794608
100130262_at	2.019886347
100130264_at	2.360540743
100130285_at	2.800014089
100130331_at	1.949240763
100130418_at	2.37489483
100130449_at	5.084889172
100130452_at	2.286913269
100130458_at	2.067933377
100130494_at	1.719840445
100130502_at	2.140773286
100130503_at	2.406393863
100130522_at	2.189915808
100130557_at	2.067499249
100130613_at	2.733630927
100130633_at	9.226135419
100130691_at	2.661434992
100130700_at	2.744023703
100130717_at	1.898055288
100130733_at	2.293202707
100130776_at	2.149708384
100130840_at	2.267371974
100130872_at	2.231216543
100130889_at	2.150134844
100130905_at	1.697956127
100130911_at	2.376588877
100130938_at	1.906608672
100130958_at	3.955329857
100130967_at	1.929381374
100130987_at	3.995606816
100130992_at	2.424267812
100131138_at	2.392039869
100131187_at	9.701114234
100131211_at	2.410441441
100131213_at	2.472899736
100131227_at	1.853531538
100131261_at	10.41447623
100131283_at	2.453065573
100131311_at	1.761442906
100131354_at	1.812813939
100131414_at	5.5596887
100131435_at	2.228693261
100131454_at	2.473176841
100131455_at	1.715127832
100131496_at	2.420440686
100131512_at	2.381651836
100131561_at	1.84854861
100131564_at	3.409551447
100131683_at	2.02999089
100131733_at	2.799760358
100131754_at	15.09927978
100131756_at	2.264000487
100131801_at	8.177558088
100131814_at	2.277887121
100131816_at	1.993890436
100131827_at	1.874537752
100132013_at	3.226859273
100132051_at	2.056467179
100132234_at	2.030212815
100132288_at	6.797742816
100132319_at	2.113376171
100132341_at	7.86221532
100132354_at	2.218124448
100132356_at	2.136267229
100132369_at	2.398215432
100132386_at	1.756959445
100132464_at	4.562913256
100132570_at	1.826444412
100132596_at	2.070882359
100132618_at	2.220041194
100132625_at	1.826924992
100132707_at	2.574171399
100132767_at	1.929986621
100132884_at	3.881317824
100132911_at	2.423701311
100132923_at	2.328749172
100133116_at	1.835277017
100133142_at	2.448467889
100133205_at	2.38389437
100133308_at	2.136489471
100133311_at	1.941524421
100133321_at	2.964958714
100133612_at	1.964841939
100133941_at	12.42487475
100133985_at	2.075619662
100133991_at	2.746920901
100134229_at	2.976315988
100134259_at	2.155653351
100134368_at	1.931092918
100134713_at	2.412426232
100134934_at	2.897724091
10013_at	6.163383946
100141515_at	2.271200846
100144603_at	4.753818689
100144604_at	2.381239735
100144748_at	2.025563265
10014_at	4.14460509
10015_at	10.30948914
100169752_at	2.003362847
10016_at	9.896356135
100170229_at	2.229909466
100170765_at	2.376710469
100170841_at	4.176848291
10017_at	2.709810954
100188893_at	11.57535807
100188953_at	2.436965496
100189589_at	2.421255608
10018_at	4.133083616
100190938_at	2.06406568
100190939_at	3.910809635
100192378_at	2.605022017
100192379_at	2.177095071
100192386_at	2.014306566
10019_at	8.199381623
1001_at	6.520250782
10020_at	5.008732296
100216545_at	3.309241549
10021_at	2.023641806
10022_at	2.082876124
10023_at	2.996609755
100240726_at	2.33199383
10024_at	2.454745423
10025_at	5.048165677
100268168_at	1.922775721
10026_at	8.693277949
100270804_at	2.291142745
100271722_at	2.6850541
100271832_at	2.068460404
100272147_at	8.238962256
100286909_at	6.227568479
100286922_at	2.124045023
100286938_at	2.200252805
100286977_at	4.304810528
100286989_at	1.698901653
100287005_at	2.19525781
100287008_at	1.871059796
100287015_at	2.54555861
100287019_at	2.047841042
100287025_at	5.034075523
100287027_at	1.790722099
100287035_at	4.237182813
100287037_at	1.858237691
100287039_at	2.671738153
100287050_at	2.124603478
100287051_at	2.066668655
100287052_at	2.969239546
100287056_at	1.955736846
100287076_at	4.888144979
100287081_at	5.125635611
100287094_at	2.001382792
100287098_at	2.803121718
100287105_at	1.780294901
100287109_at	2.152828266
100287114_at	1.954306897
100287132_at	2.215201326
100287147_at	2.424203284
100287158_at	2.116071381
100287166_at	3.446698421
100287177_at	2.532022489
100287182_at	2.339046825
100287210_at	2.070293482
100287216_at	2.456037896
100287227_at	2.339447933
100287237_at	6.895884027
100287246_at	1.930209743
100287249_at	2.216362772
100287297_at	4.685577169
100287308_at	2.636478049
100287322_at	2.077255834
100287331_at	2.111562097
100287347_at	1.877627027
100287366_at	2.077556889
100287375_at	1.768594994
100287391_at	2.104443272
100287402_at	10.74370398
100287412_at	2.700889781
100287426_at	2.281346437
100287432_at	2.365567788
100287437_at	2.555696
100287449_at	5.849123226
100287455_at	2.070033182
100287479_at	2.035552569
100287482_at	2.05523084
100287483_at	2.14684068
100287499_at	1.776781233
100287521_at	1.781419456
100287525_at	2.092616646
100287552_at	8.512337966
100287556_at	2.345805918
100287569_at	4.31814614
100287572_at	3.077275897
100287576_at	2.476852014
100287584_at	2.047560541
100287587_at	1.968707936
100287590_at	4.654678409
100287593_at	2.592365624
100287598_at	1.803271319
100287600_at	1.919802265
100287602_at	1.841472128
100287621_at	1.961235185
100287628_at	4.13265619
100287676_at	1.890589607
100287697_at	2.180871484
100287714_at	1.625801087
100287750_at	2.240774262
100287799_at	9.928014074
100287808_at	2.40437361
100287813_at	2.02449531
100287814_at	2.046003038
100287825_at	2.773893503
100287841_at	2.447802105
100287864_at	2.485210661
100287877_at	1.826367372
100287878_at	2.163823847
100287896_at	5.890834478
100287902_at	1.90932937
100287911_at	2.082046958
100287932_at	9.624263417
100288004_at	2.535161309
100288009_at	2.027083588
100288065_at	2.330555556
100288068_at	1.742036864
100288079_at	2.199256095
100288092_at	1.953656989
100288099_at	2.087510055
100288109_at	2.833299108
100288123_at	2.415475789
100288128_at	2.460146697
100288139_at	2.944281301
100288150_at	2.14129483
100288152_at	3.516942523
100288178_at	2.020283229
100288194_at	2.349870896
100288198_at	2.445051367
100288202_at	1.820871548
100288214_at	8.48955058
100288221_at	1.816512865
100288224_at	2.208667503
100288237_at	2.166515403
100288238_at	2.353231144
100288249_at	2.076343386
100288263_at	7.027990641
100288271_at	2.117330168
100288282_at	1.912913
100288303_at	2.434776482
