^SAMPLE = GSM1589758
!Sample_title = BA Luminal B, TUM116
!Sample_geo_accession = GSM1589758
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jun 18 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Breast tumor sample from IHC defined Luminal B subgroup
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: Luminal B
!Sample_characteristics_ch1 = array_batch: B3
!Sample_characteristics_ch1 = hybridation batch: H3
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Breast tumor sample from IHC defined Luminal B subgroup
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589758/suppl/GSM1589758_BC16_ARN0093_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589114
!Sample_relation = Reanalyzed by: GSM1715337
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.007833616
10000_at	2.547656559
10001_at	8.858836856
10002_at	2.802188055
10003_at	2.542165904
100048912_at	2.106868563
100049716_at	2.875023227
10004_at	2.217792337
10005_at	7.583496742
10006_at	10.28475275
10007_at	8.887604143
10008_at	2.630603548
100093630_at	9.940706822
10009_at	8.219333843
1000_at	2.477138157
100101938_at	1.851785176
10010_at	9.114981572
100113407_at	4.351042308
10011_at	8.000385493
100124700_at	4.206316342
100125288_at	2.171505955
100126784_at	2.408381757
100126791_at	2.126646262
100126793_at	2.414592239
100127886_at	2.42728942
100127888_at	1.953661773
100127891_at	2.255162886
100127983_at	2.975687758
100128003_at	2.110444986
100128025_at	1.766495062
100128071_at	1.809968417
100128074_at	1.868169416
100128090_at	2.065616638
100128093_at	2.159249841
100128098_at	2.392588815
100128124_at	3.147002731
100128126_at	1.947471477
100128139_at	2.535469029
100128164_at	2.153674029
100128191_at	2.254652753
100128236_at	1.973970889
100128239_at	2.259662387
100128288_at	3.378143046
100128292_at	2.396722885
100128334_at	4.189245105
100128361_at	2.019998297
100128370_at	2.599451333
100128392_at	2.569973984
100128403_at	1.873089259
100128430_at	2.266213794
100128496_at	2.088908724
100128511_at	2.019189958
100128731_at	11.37248025
100128737_at	1.752406706
100128782_at	2.173294781
100128788_at	2.141647846
100128822_at	8.103898385
100128843_at	2.261024965
100128881_at	1.481240734
100128893_at	2.343270912
100128909_at	1.898326223
100128922_at	2.320431895
100128927_at	6.207565279
100128977_at	2.18117574
100128998_at	2.58516715
100129098_at	2.636231688
100129104_at	3.265762906
100129122_at	2.603103729
100129128_at	1.782499554
100129194_at	2.047476187
100129195_at	5.052468004
100129250_at	5.316523015
100129268_at	2.928316366
100129271_at	2.150986359
100129335_at	2.022074291
100129361_at	10.13876742
100129387_at	6.70590292
100129482_at	4.89287935
100129500_at	1.788212322
100129503_at	2.090843797
100129550_at	3.375351254
100129637_at	2.381064185
100129656_at	1.936401994
100129716_at	1.951141481
100129726_at	2.092040371
100129792_at	2.683414559
100129794_at	2.937268855
100129827_at	2.059900636
100129890_at	2.366250984
100129907_at	2.540803549
100129935_at	2.227934305
100129969_at	2.144869446
100129988_at	2.326003471
100130054_at	1.940569099
100130100_at	5.552664338
100130111_at	2.178846231
100130155_at	2.364470462
100130262_at	2.06298545
100130264_at	2.498738217
100130285_at	3.195310897
100130331_at	1.986702735
100130418_at	2.42871977
100130449_at	10.27093515
100130452_at	2.404729145
100130458_at	2.122336891
100130494_at	1.779224056
100130502_at	2.001344058
