^SAMPLE = GSM1589789
!Sample_title = BA Healthy, H15
!Sample_geo_accession = GSM1589789
!Sample_status = Public on Jan 23 2015
!Sample_submission_date = Jan 22 2015
!Sample_last_update_date = Jan 23 2015
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Healthy breast sample from mammoplasty surgery
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample_group: Healthy
!Sample_characteristics_ch1 = array_batch: B4
!Sample_characteristics_ch1 = hybridation batch: H1
!Sample_growth_protocol_ch1 = Tumor samples were obtained from patients treated at the hospital of Institut Curie (Biological Resource Center, Paris, France). Healthy samples were obtained from mammary plastic surgery. Cell lines were grown from the American Type Culture Collection (ATCC),
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted and purified from frozen tumor samples using the RNeasy Mini Kit (Qiagen) followed by the RNA clean up kit (Macherey Nagel), according to manufacturers’ instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Following RNA quality and quantity control, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Healthy breast sample from mammoplasty surgery
!Sample_data_processing = Data were analyzed using standard AffyCDF or Brainarray HGU133Plus2_Hs_ENTREZG version 13 custom chipset definition file. Data were normalized using GC-RMA. Batch and hybridization effects were corrected using a linear model in which they were treated as fixed effects. Samples with technical replicates were subsequently averaged.
!Sample_platform_id = GPL14877
!Sample_contact_name = Thierry,,Dubois
!Sample_contact_email = thierry.dubois@curie.fr
!Sample_contact_laboratory = Breast Cancer Biology Group
!Sample_contact_department = Recherche Center
!Sample_contact_institute = Institut Curie
!Sample_contact_address = 26 rue d’Ulm
!Sample_contact_city = PARIS
!Sample_contact_zip/postal_code = 75005
!Sample_contact_country = France
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1589nnn/GSM1589789/suppl/GSM1589789_BC16_ARN0030_s1h1s1_U133p2.CEL.gz
!Sample_relation = Reanalysis of: GSM1589145
!Sample_series_id = GSE65212
!Sample_series_id = GSE65216
!Sample_data_row_count = 18123
#ID_REF = 
#VALUE = log2 GCRMA signal from Brainarray Entrez V13 custom cdf
!sample_table_begin
ID_REF	VALUE
100009676_at	2.031369891
10000_at	2.585880979
10001_at	6.133557765
10002_at	2.622955199
10003_at	2.736988015
100048912_at	2.219995507
100049716_at	2.887649456
10004_at	3.240634667
10005_at	6.057743987
10006_at	8.962916421
10007_at	8.477909414
10008_at	2.689884035
100093630_at	11.513149
10009_at	8.427105783
1000_at	2.527494314
100101938_at	1.986949788
10010_at	8.562201713
100113407_at	4.541012737
10011_at	6.597006398
100124700_at	3.383009015
100125288_at	4.842952595
100126784_at	2.740432148
100126791_at	2.118201082
100126793_at	2.433943438
100127886_at	2.493888509
100127888_at	1.974669411
100127891_at	3.875935971
100127983_at	3.876189106
100128003_at	2.138949425
100128025_at	1.772468769
100128071_at	1.793690941
100128074_at	1.915735243
100128090_at	2.088851452
100128093_at	2.191108993
100128098_at	2.040275396
100128124_at	3.739563913
100128126_at	1.963348139
100128139_at	2.639464314
100128164_at	2.185947064
100128191_at	2.270674547
100128236_at	1.972577161
100128239_at	2.337956424
100128288_at	4.435667441
100128292_at	2.49177793
100128334_at	5.449184138
100128361_at	2.053126985
100128370_at	3.391812361
100128392_at	3.033544756
100128403_at	1.887140846
100128430_at	3.109043939
100128496_at	2.108656299
100128511_at	2.034464607
100128731_at	10.23551704
100128737_at	1.822010442
100128782_at	2.228678148
100128788_at	2.180055766
100128822_at	7.78819246
100128843_at	2.267119386
100128881_at	1.468772023
100128893_at	3.047657173
100128909_at	1.905402514
100128922_at	2.386937753
100128927_at	4.343490713
100128977_at	2.185271385
100128998_at	3.611444965
100129098_at	3.212362421
100129104_at	3.762516791
100129122_at	2.618056768
100129128_at	1.835438462
100129194_at	2.073786974
100129195_at	7.090625882
100129250_at	5.10399573
100129268_at	2.56910351
100129271_at	2.149847545
100129335_at	2.02140618
100129361_at	9.546582532
100129387_at	5.752789854
100129482_at	6.382179761
100129500_at	1.795156388
100129503_at	2.110085268
100129550_at	5.804262617
100129637_at	2.729420229
100129656_at	1.863579366
100129716_at	1.960234966
100129726_at	2.11963889
100129792_at	2.903820941
100129794_at	3.562911356
100129827_at	3.116853968
100129890_at	2.430598085
100129907_at	2.542588853
100129935_at	2.290913791
100129969_at	2.193708778
100129988_at	2.410833646
100130054_at	1.951427942
100130100_at	3.979927225
100130111_at	2.282934965
100130155_at	2.467625494
100130262_at	2.083786415
100130264_at	2.584148838
100130285_at	3.934767673
100130331_at	2.084854865
100130418_at	2.587025563
100130449_at	2.10037935
100130452_at	5.214964589
100130458_at	2.196046616
100130494_at	1.799450568
100130502_at	2.081074903
100130503_at	2.959944532
100130522_at	2.30991295
100130557_at	2.110560456
100130613_at	2.922014092
100130633_at	7.043026539
100130691_at	3.78252655
100130700_at	4.0669993
100130717_at	1.948941239
100130733_at	2.49089263
100130776_at	1.398747543
100130840_at	2.330440909
100130872_at	2.383383781
100130889_at	3.509567083
100130905_at	1.739850244
