^SAMPLE = GSM162942
!Sample_title = Melanoma cell line MM648
!Sample_geo_accession = GSM162942
!Sample_status = Public on Mar 31 2007
!Sample_submission_date = Feb 15 2007
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line MM648
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Melanoma cell line established from metastatic melanoma
!Sample_biomaterial_provider_ch1 = Dr Peter G. Parsons
!Sample_treatment_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_growth_protocol_ch1 = Melanoma cell lines were cultured in RPMI 1640 in the presence of 10% fetal bovine serum. 
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = RNA extractions were performed using Qiagen RNeasy Midi-kits as per the manufacturer’s instructions. RNA quality and concentration were assessed using a 2100 BioAnalyser (Agilent Technologies). 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). 
!Sample_hyb_protocol = This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450.
!Sample_scan_protocol = Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2).
!Sample_description = For each sample, 5 μg of total RNA were used for target preparation using Eukaryotic One-cycle Target Labelling and Control Reagents kits according to the manufacturer’s instructions (Affymetrix). First-strand complementary DNA (cDNA) was synthesized using a T7-Oligo(dT) primer followed by second-strand cDNA synthesis from these samples using T4 polymerase. An in-vitro transcription reaction was then performed to produce biotin-labelled complementary RNA (cRNA). This cRNA was fragmented and 15 μg were hybridized to an Affymetrix Human Genome U133 Plus 2.0 Array in an Affymetrix Hybridization Oven 640 for 16 h at 45oC. Chips were then washed and post-stained with streptavidin phycoerythrin and normal goat IgG solutions on an Affymetrix Fluidics Station 450. Chips were scanned on an Affymetrix GeneChip Scanner 3000, and raw image data files obtained using Affymetrix GeneChip Operating Software (GCOS Version 1.2). Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_data_processing = Relative expression values were generated for each probe set using the Affymetrix PLIER algorithm in ArrayAssist® Version 4.20 (Stratagene) and further log transformed to base 2. The resulting data were imported into GeneSpring GX v7.3 (Agilent Technologies). Data values less than 0.1 were set to 0.1 and the logarithm of data values were used as expression values. The expression values were normalized in two steps. First, values were centralized sample by sample, such that the median expression value was zero for each sample. Second, expression values were centralized gene by gene such that the median expression value was zero for each probe set. 
!Sample_platform_id = GPL570
!Sample_contact_name = Leisl,,Packer
!Sample_contact_laboratory = Oncogenomics Laboratory
!Sample_contact_department = Cancer and Cell Biology
!Sample_contact_institute = Queensland Institute of Medical Research
!Sample_contact_address = 300 Herston Rd
!Sample_contact_city = Herston
!Sample_contact_state = QLD
!Sample_contact_zip/postal_code = 4006
!Sample_contact_country = Australia
!Sample_contact_web_link = www.qimr.edu.au
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM162nnn/GSM162942/suppl/GSM162942.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM162nnn/GSM162942/suppl/GSM162942.CHP.gz
!Sample_relation = Reanalyzed by: GSE64985
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE7127
!Sample_series_id = GSE7152
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = signal value
#ABS_CALL = signal absent/present
#DETECTION-P-VALUE = detection p-value
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION-P-VALUE
AFFX-BioB-5_at	317.64	P	0.000146581
AFFX-BioB-M_at	548.073	P	4.42873e-05
AFFX-BioB-3_at	354.242	P	5.16732e-05
AFFX-BioC-5_at	680.307	P	4.42873e-05
AFFX-BioC-3_at	750.796	P	4.42873e-05
AFFX-BioDn-5_at	801.117	P	4.42873e-05
AFFX-BioDn-3_at	3028.77	P	4.42873e-05
AFFX-CreX-5_at	7490.81	P	5.16732e-05
AFFX-CreX-3_at	11546.8	P	4.42873e-05
AFFX-DapX-5_at	237.63	P	5.16732e-05
AFFX-DapX-M_at	344.741	P	0.000856509
AFFX-DapX-3_at	434.28	P	7.00668e-05
AFFX-LysX-5_at	41.0302	P	0.000972149
AFFX-LysX-M_at	49.2506	P	0.00159257
AFFX-LysX-3_at	94.534	P	0.000126798
AFFX-PheX-5_at	48.8817	P	0.000126798
AFFX-PheX-M_at	72.6682	P	0.00179591
AFFX-PheX-3_at	62.3097	P	0.00141043
AFFX-ThrX-5_at	42.916	P	0.00010954
AFFX-ThrX-M_at	69.0091	P	0.000662269
AFFX-ThrX-3_at	112.034	P	5.16732e-05
AFFX-TrpnX-5_at	5.69629	A	0.52976
AFFX-TrpnX-M_at	1.29957	A	0.749204
AFFX-TrpnX-3_at	2.30175	A	0.559354
AFFX-r2-Ec-bioB-5_at	378.611	P	0.000244141
AFFX-r2-Ec-bioB-M_at	556.93	P	0.000244141
AFFX-r2-Ec-bioB-3_at	379.062	P	0.000244141
AFFX-r2-Ec-bioC-5_at	864.437	P	0.000244141
AFFX-r2-Ec-bioC-3_at	1087.12	P	0.000244141
AFFX-r2-Ec-bioD-5_at	3087.45	P	0.000244141
AFFX-r2-Ec-bioD-3_at	3765.19	P	0.000244141
AFFX-r2-P1-cre-5_at	14095.6	P	0.000244141
AFFX-r2-P1-cre-3_at	15893.1	P	0.000244141
AFFX-r2-Bs-dap-5_at	346.723	P	0.000244141
AFFX-r2-Bs-dap-M_at	376.97	P	0.000244141
AFFX-r2-Bs-dap-3_at	600.492	P	0.000244141
AFFX-r2-Bs-lys-5_at	34.7208	P	0.000244141
AFFX-r2-Bs-lys-M_at	48.9344	P	0.000244141
AFFX-r2-Bs-lys-3_at	43.3865	P	0.000244141
AFFX-r2-Bs-phe-5_at	69.1799	P	0.000244141
AFFX-r2-Bs-phe-M_at	54.7676	P	0.000244141
AFFX-r2-Bs-phe-3_at	101.029	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	148.647	P	0.0012207
AFFX-r2-Bs-thr-M_s_at	139.239	P	0.0185547
AFFX-r2-Bs-thr-5_s_at	86.2542	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	237.806	P	0.000581214
AFFX-HUMISGF3A/M97935_MA_at	294.062	P	7.00668e-05
AFFX-HUMISGF3A/M97935_MB_at	294.73	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	841.483	P	5.16732e-05
AFFX-HUMRGE/M10098_5_at	92.4284	P	0.00141043
AFFX-HUMRGE/M10098_M_at	89.1069	P	0.00227496
AFFX-HUMRGE/M10098_3_at	122.521	P	0.000389797
AFFX-HUMGAPDH/M33197_5_at	12300.1	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	11339	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	11561.5	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	11403.9	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	11378.7	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	11724.1	P	4.42873e-05
AFFX-M27830_5_at	356.082	P	4.42873e-05
AFFX-M27830_M_at	687.27	P	0.00255552
AFFX-M27830_3_at	5.74185	A	0.814869
AFFX-hum_alu_at	14111.8	P	2.6068e-13
1007_s_at	507.066	P	0.000265621
1053_at	211.101	P	0.000959383
117_at	109.35	P	0.000467546
121_at	249.124	P	0.000804598
1255_g_at	3.40815	A	0.765443
1294_at	225.394	P	0.000265621
1316_at	34.5171	P	0.0114474
1320_at	25.1221	A	0.189687
1405_i_at	19.135	A	0.198363
1431_at	5.6545	A	0.250688
1438_at	21.3624	A	0.0980541
1487_at	246.478	P	0.00358487
1494_f_at	11.8229	A	0.250724
1598_g_at	175.374	P	0.00653198
160020_at	703.639	P	0.000218889
1729_at	241.265	P	0.000388206
1773_at	406.422	P	0.000467546
177_at	68.8314	P	0.000265621
179_at	175.625	P	0.0114474
1861_at	270.278	P	0.000218889
200000_s_at	1417.78	P	0.000244141
200001_at	1688.08	P	0.000244141
