^SAMPLE = GSM385050
!Sample_title = human non-Hodgkins lymphoma cell line, SU-DHL-16_rep1
!Sample_geo_accession = GSM385050
!Sample_status = Public on May 11 2009
!Sample_submission_date = Mar 20 2009
!Sample_last_update_date = May 11 2009
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = human non-Hodgkins lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SU-DHL-16
!Sample_characteristics_ch1 = cell type: human non-Hodgkins lymphoma
!Sample_treatment_protocol_ch1 = Cells were untreated.
!Sample_growth_protocol_ch1 = Cells were maintained in RPMI1640 or DMEM supplemented with 10% fetal bovine serum, non-essential amino acids and 2mmol/L L-glutamine.
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen Rneasy kit used for the extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 6 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).
!Sample_hyb_protocol = Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Human Genome U133P 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 400.
!Sample_scan_protocol = GeneChips were scanned using the Hewlett-Packard GeneArray Scanner G2500A.
!Sample_description = SU-DHL-16_rep1
!Sample_data_processing = Expression was normalized and estimated using the GC-RMA package of BioConductor.
!Sample_platform_id = GPL570
!Sample_contact_name = Peng,,Yue
!Sample_contact_email = pengy@gene.com
!Sample_contact_phone = 650-467-3587
!Sample_contact_institute = Genentech Inc
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM385nnn/GSM385050/suppl/GSM385050.CEL.gz
!Sample_series_id = GSE15329
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = GC-RMA value
!sample_table_begin
ID_REF	VALUE
1007_s_at	2.793882949
1053_at	9.945397694
117_at	3.214329469
121_at	6.361580379
1255_g_at	1.98039634
1294_at	2.720197132
1316_at	2.945395978
1320_at	2.671660386
1405_i_at	3.939249964
1431_at	2.938333978
1438_at	2.121459767
1487_at	7.867745321
1494_f_at	2.39987352
1552256_a_at	5.358830689
1552257_a_at	9.295205177
1552258_at	2.633715305
1552261_at	3.096479636
1552263_at	8.736667824
1552264_a_at	8.766222088
1552266_at	3.594593128
1552269_at	2.150543854
1552271_at	1.52829174
1552272_a_at	2.000391198
1552274_at	11.30914654
1552275_s_at	10.62088723
1552276_a_at	2.271314739
1552277_a_at	9.591814316
1552278_a_at	2.377075186
1552279_a_at	2.269693839
1552280_at	2.300171661
1552281_at	2.194295558
1552283_s_at	5.646965688
1552286_at	3.07175119
1552287_s_at	9.104096479
1552288_at	3.249914029
1552289_a_at	1.563536058
1552291_at	10.62553352
1552293_at	2.436340904
1552295_a_at	4.958686844
1552296_at	2.788340683
1552299_at	2.760113792
1552301_a_at	2.973781509
1552302_at	6.683166078
1552303_a_at	7.087122862
1552304_at	2.735016505
1552306_at	8.490210441
1552307_a_at	3.63906036
1552309_a_at	1.999795274
1552310_at	7.900215217
1552311_a_at	3.260085
1552312_a_at	6.234659647
1552314_a_at	5.336065033
1552315_at	1.996182816
1552316_a_at	2.614372368
1552318_at	3.158289382
1552319_a_at	3.204425762
1552320_a_at	3.705437695
1552321_a_at	2.683116884
1552322_at	2.373323564
1552323_s_at	4.442334433
1552325_at	4.511539105
1552326_a_at	1.991003378
1552327_at	2.628421647
1552329_at	7.808471741
1552330_at	3.052518147
1552332_at	6.404860567
1552334_at	4.879175162
1552335_at	2.054885534
1552337_s_at	2.117649914
1552338_at	1.564030586
1552340_at	2.161971064
1552343_s_at	3.653154914
1552344_s_at	8.482712952
1552347_at	9.200518074
1552348_at	3.057630697
1552349_a_at	2.161478878
1552354_at	2.445637479
1552355_s_at	1.929859438
1552359_at	2.748842618
1552360_a_at	6.928148487
1552362_a_at	6.587017245
1552364_s_at	3.56154982
1552365_at	2.874075968
1552367_a_at	3.121444871
1552368_at	2.752513229
1552370_at	8.204264794
1552372_at	3.249084917
1552373_s_at	2.992519815
1552375_at	3.60916182
1552377_s_at	2.04753593
1552378_s_at	3.146247768
1552379_at	3.178420192
1552381_at	2.339569355
1552383_at	4.945780996
1552384_a_at	2.235868797
1552386_at	7.032387214
1552388_at	1.622954178
1552389_at	3.509533874
1552390_a_at	2.674271003
1552391_at	3.967237816
1552393_at	3.304156736
1552394_a_at	3.060661121
1552395_at	1.993648234
1552396_at	2.455526789
1552398_a_at	2.727155941
1552399_a_at	3.548914545
1552400_a_at	2.085734475
1552401_a_at	2.990111101
1552402_at	4.165758511
1552405_at	1.959183885
1552408_at	2.43257484
1552409_a_at	2.840322451
1552410_at	2.122956023
1552411_at	-0.161106709
